ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1066,Indigo Film,7.5/10,82%,75/100,2
1067,Barbary Films,7.3/10,72%,64/100,1
1068,Mediaset Premium,7.3/10,72%,64/100,1
1069,Imagenation Abu Dhabi FZ,7.1/10,75%,34/100,2
1070,40 Acres and a Mule Filmworks,6.7/10,69%,56/100,6
1071,BN Films,5.4/10,26%,36/100,1
1072,Brightside Entertainment,5.4/10,26%,36/100,1
1073,1019 Entertainment,5.4/10,26%,36/100,1
1074,Yoruba Saxon Productions,5.4/10,26%,36/100,1
1075,Mythology Entertainment,6.6/10,56%,59/100,2
1076,Dirty Films,6.8/10,62%,66/100,1
1077,Gail Katz Productions,7.0/10,71%,65/100,1
1078,Little Monster Films,7.7/10,90%,77/100,1
1079,Anthem Productions,7.2/10,32%,34/100,1
1080,Paul Schiff Productions,4.8/10,17%,20/100,2
1081,After Dark Films,5.4/10,28%,39/100,4
1082,Echo Films,6.2/10,50%,50/100,2
1083,Skoche Films,5.3/10,19%,29/100,1
1084,Motion Picture Pro Studios,5.3/10,19%,29/100,1
1085,Caper Film,7.3/10,82%,64/100,1
1086,CAB Productions,6.7/10,89%,78/100,1
1087,Radio Télévision Suisse,6.7/10,89%,78/100,1
1088,SRG SSR idée suisse,6.7/10,89%,78/100,1
1089,MSM Motion Pictures,7.6/10,92%,N/A/100,1
1090,Saraswati Entertainment Creations Limited,7.6/10,92%,N/A/100,1
1091,Rising Sun Films,7.6/10,92%,N/A/100,1
1092,H2F Entertainment,5.7/10,16%,33/100,2
1093,Hungarian National Film Fund,7.5/10,96%,89/100,1
1094,Laokoon Film Arts,7.5/10,96%,89/100,1
1095,Laokoon Filmgroup,7.5/10,96%,89/100,1
1096,Big Screen Productions V,5.9/10,28%,25/100,1
1097,Caviar,6.9/10,94%,87/100,1
1098,Aascar Film,7.4/10,50%,N/A/100,1
1099,Paper Street Films,7.0/10,81%,64/100,1
1100,KGB Media,7.0/10,81%,64/100,1
1101,Huayi Brothers &,7.0/10,N/A%,57/100,1
1102,Taihe Film Investment,7.4/10,90%,68/100,2
1103,Hyde Park Entertainment,6.0/10,37%,32/100,18
1104,Image Nation,7.2/10,73%,50/100,4
1105,Noruz Films,7.0/10,92%,76/100,1
1106,Base Industries Group,4.2/10,43%,N/A/100,1
1107,Swiss Entertainment Pvt. Ltd.,4.2/10,43%,N/A/100,1
1108,Remember Films,5.0/10,N/A%,N/A/100,1
1109,Decia Films,8.4/10,95%,83/100,1
1110,Beijing Enlight Pictures,5.5/10,60%,N/A/100,1
1111,Luck Road Culture Communication,5.5/10,60%,N/A/100,1
1112,Pulin Production,5.5/10,60%,N/A/100,1
1113,Kotva Films,7.0/10,85%,75/100,1
1114,Verisimilitude,7.2/10,82%,72/100,2
1115,Happy Mahua Pictures,6.8/10,N/A%,N/A/100,1
1116,New Classics Pictures,6.8/10,N/A%,N/A/100,1
1117,Tencent,6.8/10,N/A%,N/A/100,1
1118,Video,6.8/10,N/A%,N/A/100,1
1119,Wanda Media,6.8/10,N/A%,N/A/100,1
1120,Crab Apple Films,7.2/10,95%,83/100,1
1121,Warp Films,7.2/10,95%,83/100,1
1122,BFI Film Fund,7.2/10,95%,83/100,1
1123,Screen Yorkshire,7.0/10,79%,74/100,2
1124,Dalian Wanda Group,6.0/10,56%,48/100,1
1125,Enlight Media,6.0/10,56%,48/100,1
1126,Burns Family Studios,5.0/10,17%,N/A/100,1
1127,Ulrich Seidl Film Produktion GmbH,6.7/10,86%,8/100,1
1128,Cowboy Films,7.2/10,88%,72/100,2
1129,Etalon Film,6.4/10,80%,62/100,1
1130,S Films,6.8/10,70%,59/100,1
1131,Godspeed Pictures,6.6/10,N/A%,4/100,1
1132,Stealth Tiger Entertainment,6.6/10,N/A%,4/100,1
1133,Duplass Brothers Productions,6.6/10,86%,70/100,3
1134,Gettin' Rad Productions,6.0/10,82%,65/100,1
1135,CNC,7.6/10,89%,47/100,4
1136,TV5 Monde,7.2/10,99%,92/100,1
1137,CIM Productions,7.3/10,83%,7/100,1
1138,Lascaux Films,6.2/10,47%,55/100,1
1139,Latitude Productions,6.2/10,47%,55/100,1
1140,Revelations Entertainment,6.4/10,39%,34/100,3
1141,Altar Identity Studios,5.6/10,N/A%,39/100,1
1142,Downes Brothers Entertainment,3.4/10,10%,2/100,1
1143,22nd & Indiana Pictures,7.3/10,72%,72/100,1
1144,WingNut Films,7.9/10,76%,58/100,10
1145,Jiaflix Enterprises,5.7/10,18%,32/100,1
1146,"Arad Productions, Inc.",6.8/10,62%,60/100,2
1147,The Cannell Studios,7.0/10,85%,7/100,1
1148,Storyville,7.0/10,85%,7/100,1
1149,75 Year Plan Productions,7.0/10,85%,7/100,1
1150,Heavy Metal,5.8/10,22%,3/100,1
1151,Syncopy,8.4/10,80%,64/100,8
1152,Lynda Obst Productions,8.6/10,71%,74/100,1
1153,Red Wagon Entertainment,6.9/10,54%,55/100,8
1154,Rainforest Films,5.7/10,38%,37/100,8
1155,Jolie Pas,7.2/10,51%,59/100,1
1156,Pacific Data Images,6.7/10,68%,41/100,6
1157,Bullwinkle Studios,6.8/10,81%,59/100,1
1158,Atmosphere Pictures,5.6/10,31%,39/100,6
1159,Hollywood Gang Productions,6.1/10,40%,47/100,2
1160,Viz Productions,7.9/10,90%,7/100,1
1161,LoveFilm,7.0/10,60%,56/100,1
1162,Bristol Automotive,8.0/10,91%,73/100,1
1163,Conundrum Entertainment,5.7/10,40%,45/100,10
1164,Crave Films,7.0/10,61%,45/100,3
1165,Plan B,7.6/10,76%,64/100,1
1166,LBI Productions,6.0/10,25%,39/100,1
1167,Radical Studios,6.5/10,56%,50/100,2
1168,Babieka,6.0/10,28%,52/100,1
1169,Volcano Films,6.0/10,28%,52/100,1
1170,Greg Jenkins Productions,4.8/10,15%,6/100,1
1171,Red Entertainment Group,4.8/10,15%,6/100,1
1172,DisneyToon Studios,6.0/10,49%,50/100,3
1173,Benderspink,6.5/10,39%,35/100,7
1174,Harpo Films,7.4/10,84%,72/100,2
1175,Hasbro Films,4.5/10,6%,38/100,1
1176,Mace Neufeld Productions,6.2/10,51%,35/100,3
1177,Reel FX Creative Studios,6.7/10,49%,37/100,3
1178,Team Downey,7.4/10,48%,48/100,1
1179,Karz Entertainment,5.5/10,20%,17/100,5
1180,Bandito Brothers,6.5/10,24%,22/100,2
1181,Electronic Arts,6.5/10,22%,39/100,1
1182,87Eleven Productions,7.3/10,86%,68/100,1
1183,MJW Films,7.3/10,86%,68/100,1
1184,DefyNite Films,7.3/10,86%,68/100,1
1185,Nu Image,6.2/10,39%,28/100,9
1186,Splendid Film,6.0/10,32%,35/100,1
1187,Panay Films,5.8/10,50%,53/100,1
1188,(uncredited),6.4/10,39%,28/100,6
1189,Spring Creek Productions,6.7/10,54%,56/100,2
1190,Chartoff/Winkler Productions,6.0/10,44%,55/100,1
1191,Aldamisa Entertainment,7.3/10,87%,68/100,1
1192,Jagged Films,6.1/10,55%,33/100,3
1193,Wyolah Films,6.9/10,80%,7/100,1
1194,Mandalay Pictures,6.5/10,33%,28/100,7
1195,Montecito Picture Company,6.8/10,59%,54/100,1
1196,1984 Private Defense Contractors,6.3/10,56%,57/100,3
1197,Exclusive Media,7.2/10,77%,56/100,6
1198,Jersey Films,6.5/10,53%,51/100,10
1199,Double Feature Films,6.3/10,44%,39/100,6
1200,Treehouse Pictures,6.6/10,68%,65/100,3
1201,Aversano Films,6.2/10,22%,36/100,1
1202,What If It Barks Films,6.2/10,22%,36/100,1
1203,Ninjas Runnin' Wild Productions,6.2/10,22%,36/100,1
1204,IFC Productions,7.9/10,97%,N/A/100,1
1205,Detour Filmproduction,7.4/10,88%,81/100,4
1206,Irish DreamTime,6.1/10,26%,38/100,2
1207,SPD Films,6.3/10,35%,38/100,1
1208,Envision Entertainment,6.8/10,58%,33/100,3
1209,Fake Empire Productions,5.8/10,20%,20/100,2
1210,Straight Up Films,6.3/10,20%,42/100,1
1211,D8,5.7/10,26%,4/100,1
1212,Nu Boyana Film Studios,4.2/10,3%,22/100,1
1213,IM Global Octane,4.7/10,8%,7/100,1
1214,Wayans Bros. Entertainment,5.4/10,25%,28/100,3
1215,Radio Silence,4.0/10,17%,34/100,1
1216,Offspring Entertainment,6.1/10,36%,35/100,8
1217,Homegrown Pictures,6.6/10,87%,76/100,2
1218,Undisputed Cinema,6.9/10,83%,73/100,1
1219,Stoney Lake Entertainment,3.0/10,1%,2/100,2
1220,Right of Way Films,7.2/10,86%,46/100,4
1221,Isle of Man Film,6.9/10,60%,54/100,4
1222,Albert S. Ruddy Productions,5.7/10,21%,4/100,1
1223,Four Boys Entertainment,5.4/10,15%,25/100,1
1224,Hammer Film Productions,5.7/10,52%,33/100,2
1225,Summertime Entertainment,5.5/10,16%,25/100,1
1226,Prana Studios,5.2/10,12%,14/100,2
1227,Kintop Pictures,6.1/10,50%,34/100,2
1228,Munford & Murphy,5.5/10,15%,3/100,1
1229,Preger Entertainment,5.5/10,15%,3/100,1
1230,Darko Entertainment,6.7/10,65%,57/100,1
1231,MXN Entertainment,6.7/10,65%,57/100,1
1232,Kenio Films,6.6/10,45%,44/100,1
1233,The Church of Jesus Christ of Latter-day Saints,7.0/10,18%,29/100,1
1234,Canana Films,6.9/10,67%,50/100,3
1235,Studio Ghibli,7.9/10,90%,48/100,6
1236,Opus Pictures,7.0/10,95%,84/100,1
1237,Stillking Films,7.2/10,87%,49/100,4
1238,Archer Street Productions,7.0/10,67%,59/100,1
1239,Latitude Media,7.0/10,67%,59/100,1
1240,Pictures in Paradise,6.8/10,67%,58/100,2
1241,Thai Occidental Productions,7.0/10,67%,59/100,1
1242,Code Red Films,6.2/10,91%,79/100,1
1243,Duly Noted,6.2/10,91%,79/100,1
1244,DAR Motion Pictures,7.8/10,96%,76/100,1
1245,Sikhya Entertainment,7.8/10,96%,76/100,1
1246,NFDC,7.8/10,96%,76/100,1
1247,Cohen Media Group,6.8/10,74%,67/100,2
1248,Focus Features International,7.2/10,81%,76/100,2
1249,Thin Man Films,7.2/10,93%,67/100,4
1250,Xofa Productions,6.8/10,97%,94/100,1
1251,Canal+ Polska,7.4/10,95%,9/100,1
1252,Eurimages,7.4/10,87%,55/100,5
1253,Antidote Films,6.5/10,71%,50/100,3
1254,Reprisal Films,7.3/10,92%,78/100,2
1255,Octagon Films,7.4/10,90%,77/100,1
1256,Bord Scannan na hEireann/Irish Film Board,7.4/10,90%,77/100,1
1257,Metafilms,8.0/10,89%,74/100,1
1258,Société de développement des entreprises culturelles,8.0/10,89%,74/100,1
1259,Sons of Manual,8.0/10,89%,74/100,1
1260,Super Écran,8.0/10,89%,74/100,1
1261,Téléfilm Canada,8.0/10,89%,74/100,1
1262,Caramel Film,6.8/10,77%,64/100,2
1263,Fastnet Films,N/A/10,72%,N/A/100,1
1264,Busboy Productions,6.6/10,77%,67/100,1
1265,Sundial Pictures,6.8/10,90%,76/100,1
1266,Votiv Films,6.8/10,90%,76/100,1
1267,City of Peace Films,5.0/10,6%,25/100,1
1268,Identical Production Company,5.0/10,6%,25/100,1
1269,Praxis Films,8.0/10,96%,88/100,1
1270,Silvatar Media,4.6/10,13%,24/100,1
1271,Fox International Productions,4.6/10,13%,24/100,1
1272,PT. Merantau Films,7.8/10,82%,40/100,2
1273,XYZ Films,7.0/10,69%,45/100,3
1274,Ithaca,6.6/10,81%,68/100,1
1275,The Javelina Film Company,6.6/10,81%,68/100,1
1276,Le Bureau,6.3/10,89%,73/100,1
1277,Pelo Suelto México Films,6.5/10,100%,N/A/100,1
1278,Rio Negro Productions,6.5/10,100%,N/A/100,1
1279,Keep Your Head,6.6/10,86%,77/100,1
1280,Kingsgate Films,6.8/10,74%,46/100,4
1281,Recorded Picture Company,7.0/10,74%,70/100,6
1282,Pandora Film,7.7/10,90%,82/100,2
1283,SModcast Pictures,5.4/10,41%,55/100,1
1284,One Media,3.6/10,0%,N/A/100,1
1285,Atlas Films,7.7/10,80%,7/100,1
1286,Ravine Pictures,7.7/10,95%,75/100,1
1287,Calamity Films,7.8/10,92%,79/100,3
1288,Les Films du Fleuve,7.4/10,96%,88/100,2
1289,Archipel 35,7.4/10,97%,89/100,1
1290,Eyeworks,7.4/10,97%,89/100,1
1291,Radio Télévision Belge Francophone,7.4/10,97%,89/100,1
1292,Belgacom,7.4/10,97%,89/100,1
1293,Beofilm,7.3/10,93%,N/A/100,1
1294,Motlys,7.3/10,93%,N/A/100,1
1295,Rhône-Alpes Cinéma,7.3/10,93%,N/A/100,1
1296,Société Parisienne de Production,7.3/10,93%,N/A/100,1
1297,Sohail Khan Productions,5.3/10,22%,N/A/100,1
1298,Ajay Devgn Films,5.7/10,38%,N/A/100,1
1299,Triumph Films,4.3/10,56%,38/100,1
1300,Egoli Tossell Film,7.3/10,59%,31/100,3
1301,Film Afrika Worldwide,7.0/10,38%,29/100,1
1302,Erfttal Film,7.0/10,38%,29/100,1
1303,German Federal Film Board (de),7.0/10,38%,29/100,1
1304,Screen Siren Pictures,7.0/10,38%,29/100,1
1305,Porchlight Films,6.8/10,80%,74/100,2
1306,"Liberty Studios, Inc.",6.2/10,46%,44/100,1
1307,Non-Stop Production,7.6/10,99%,92/100,1
1308,"Russian Ministry of Culture
Cinema Fund",7.6/10,99%,92/100,1
1309,RuArts Foundation,7.6/10,99%,92/100,1
1310,Ego Film Arts,5.9/10,30%,36/100,1
1311,The Film Farm,6.8/10,62%,62/100,2
1312,VB Pictures,7.8/10,91%,N/A/100,2
1313,Corsan,6.7/10,40%,45/100,2
1314,Volten,6.4/10,24%,38/100,1
1315,Lailaps Pictures,6.4/10,24%,38/100,1
1316,Filmfinance XII,6.4/10,24%,38/100,1
1317,City On a Hill Studios,6.0/10,31%,42/100,1
1318,Mecanismo Films,6.9/10,74%,6/100,1
1319,micro_scope,6.9/10,74%,6/100,1
1320,Roxbury Pictures,6.9/10,74%,6/100,1
1321,Esperanto Filmoj,7.6/10,88%,87/100,3
1322,Curtis-Donen Productions,6.3/10,59%,44/100,1
1323,Hemisphere Media Capital,7.2/10,70%,66/100,2
1324,2DUX²,7.0/10,66%,63/100,1
1325,Newman/Tooley Films,7.0/10,47%,44/100,1
1326,Slap Happy Productions,7.0/10,47%,44/100,1
1327,Bazmark Productions,7.4/10,62%,60/100,2
1328,A&E Television,7.3/10,49%,55/100,1
1329,Evergreen Media Group,7.5/10,86%,68/100,1
1330,Scott Stuber Productions,5.7/10,19%,35/100,1
1331,Herrick Entertainment,7.1/10,70%,30/100,2
1332,Spikings Entertainment,7.5/10,76%,6/100,1
1333,Leverage Management,7.5/10,76%,6/100,1
1334,Spyglass Entertainment (uncredited),5.8/10,29%,4/100,1
1335,EMJAG Productions,8.2/10,78%,75/100,1
1336,Laura Ziskin Productions,7.0/10,78%,69/100,5
1337,Windy Hill Pictures,7.2/10,72%,66/100,1
1338,Follow Through Productions,7.2/10,72%,66/100,1
1339,Salamander Pictures,7.2/10,72%,66/100,1
1340,Pam Williams Productions,7.2/10,72%,66/100,1
1341,Green Hat Films,6.7/10,40%,35/100,5
1342,Mandate Pictures,6.6/10,70%,47/100,12
1343,Alphacore,6.6/10,67%,6/100,1
1344,Monolith Pictures,7.0/10,52%,54/100,1
1345,Essential Media and Entertainment,7.5/10,78%,65/100,1
1346,Oasis Ventures Entertainment,6.7/10,64%,55/100,1
1347,Boom! Studios,6.7/10,64%,55/100,1
1348,Toma 78,6.2/10,64%,57/100,1
1349,De Milo Productions,6.2/10,64%,57/100,1
1350,Kerner Entertainment Company,5.4/10,13%,34/100,1
1351,Blackmaled Productions,6.7/10,70%,59/100,1
1352,Chartoff Productions,6.7/10,61%,5/100,1
1353,Taleswapper,6.7/10,61%,5/100,1
1354,Digital Domain,6.7/10,61%,5/100,1
1355,Sierra/Affinity,6.7/10,61%,5/100,1
1356,8:38 Productions,8.0/10,82%,74/100,1
1357,Madhouse Entertainment,8.0/10,82%,74/100,1
1358,Blinding Edge Pictures,6.1/10,39%,40/100,8
1359,Samuel Goldwyn Films,6.9/10,60%,31/100,3
1360,Blue Yonder Films,5.9/10,33%,35/100,2
1361,GRF Productions,5.9/10,33%,35/100,1
1362,Kaleidoscope TWC,5.9/10,33%,35/100,1
1363,Protocol Pictures,5.9/10,33%,35/100,1
1364,Rainmaker Entertainment,5.9/10,33%,35/100,1
1365,Troika Pictures,6.7/10,45%,5/100,1
1366,Amasia Entertainment,6.7/10,45%,5/100,1
1367,Apotheosis Media Group,6.7/10,45%,5/100,1
1368,Wild West Picture Show Productions,5.8/10,29%,34/100,4
1369,Alebrije Cine y Video,7.6/10,55%,55/100,1
1370,"Fulano, Mengano y Asociados",7.6/10,55%,55/100,1
1371,Endgame Releasing,5.8/10,26%,3/100,2
1372,Mid Atlantic Films,6.3/10,15%,28/100,1
1373,Stuber Productions,6.2/10,26%,34/100,3
1374,Yucaipa Films,6.6/10,70%,62/100,2
1375,Baby Cow Productions,7.3/10,90%,57/100,3
1376,Magnolia Mae Films,6.8/10,76%,71/100,3
1377,Grive Productions,6.6/10,35%,28/100,5
1378,BBC Earth,5.2/10,24%,37/100,1
1379,Evergreen Films,5.2/10,24%,37/100,1
1380,Metro-Goldwyn-Mayer Pictures,5.9/10,49%,53/100,1
1381,Screen Gems,5.2/10,20%,30/100,5
1382,Misher Films,6.1/10,44%,34/100,6
1383,Mainline Pictures,4.8/10,18%,N/A/100,1
1384,Dark Horse Entertainment,6.0/10,55%,40/100,6
1385,Hartbeat Productions,7.2/10,66%,53/100,2
1386,Brad Grey Pictures,5.1/10,26%,31/100,6
1387,Dimension Films,5.5/10,37%,32/100,24
1388,Constantin Film Produktion GmbH,5.9/10,13%,33/100,1
1389,Don Carmody Productions,6.3/10,48%,48/100,2
1390,Gerber Pictures,6.3/10,36%,40/100,2
1391,Callahan Filmworks,6.4/10,31%,42/100,2
1392,Syco Entertainment,4.0/10,63%,49/100,1
1393,Warrior Poets,4.0/10,63%,49/100,1
1394,Modest Entertainment,4.0/10,63%,49/100,1
1395,Dentsu,7.1/10,56%,43/100,3
1396,Truth Entertainment,8.0/10,93%,84/100,1
1397,Nick Wechsler Productions,6.6/10,42%,52/100,5
1398,Big Talk Pictures,6.9/10,83%,47/100,3
1399,Atmosphere Entertainment,6.1/10,53%,49/100,3
1400,HitRecord Films,6.6/10,80%,66/100,1
1401,Carousel,5.9/10,37%,44/100,1
1402,Two Ton Films,5.6/10,8%,28/100,1
1403,Everest Entertainment,7.4/10,91%,74/100,4
1404,Brace Cove Productions,7.4/10,97%,76/100,1
1405,Inferno Distribution,6.0/10,40%,47/100,3
1406,Snoot Entertainment,6.5/10,76%,66/100,1
1407,Headline Pictures,6.4/10,78%,70/100,2
1408,Finola Dwyer Productions,7.0/10,88%,74/100,2
1409,Blue Lake Media Fund,7.7/10,91%,86/100,1
1410,Bona Fide Productions,7.3/10,79%,58/100,5
1411,Incentive Filmed Entertainment,5.1/10,29%,32/100,2
1412,Chockstone Pictures,7.0/10,74%,64/100,2
1413,Five Star Feature Films,5.9/10,28%,44/100,1
1414,IF Entertainment,5.9/10,28%,44/100,1
1415,Arcade Pictures,5.0/10,46%,34/100,3
1416,Strike Entertainment,6.2/10,57%,53/100,9
1417,Muse Productions,6.7/10,70%,68/100,3
1418,Division Films,5.3/10,67%,63/100,1
1419,Radar Productions,5.3/10,67%,63/100,1
1420,Frequency Films,6.5/10,38%,39/100,1
1421,Dark Castle Entertainment,5.8/10,28%,34/100,13
1422,Signature Entertainment,4.4/10,2%,22/100,1
1423,Millar Gough Ink,5.0/10,45%,48/100,2
1424,Emjag,5.7/10,47%,48/100,1
1425,Contrafilm,5.8/10,26%,32/100,5
1426,GreeneStreet Films,5.8/10,38%,32/100,4
1427,Charles B. Wessler Entertainment,4.7/10,28%,32/100,2
1428,Videovision Entertainment,7.0/10,61%,6/100,1
1429,Distant Horizon,5.8/10,36%,16/100,2
1430,(unseen/absent),7.9/10,98%,94/100,1
1431,Quick Draw Productions,5.6/10,28%,4/100,1
1432,Troublemaker Studios,6.4/10,66%,35/100,8
1433,Gaumont Film,5.7/10,6%,32/100,1
1434,Andrew Lauren Productions,7.0/10,92%,82/100,1
1435,Global Produce,7.0/10,92%,82/100,1
1436,Block 2 Pictures,6.5/10,79%,73/100,1
1437,Jet Tone Films,6.5/10,79%,73/100,1
1438,Sil-Metropole Organisation,7.3/10,76%,55/100,3
1439,Bona International Film Group,6.5/10,79%,73/100,1
1440,Before the Door Pictures,7.0/10,92%,82/100,2
1441,Washington Square Films,6.9/10,94%,87/100,1
1442,Sudden Storm Productions,6.9/10,94%,87/100,1
1443,NALA Films,6.5/10,66%,65/100,3
1444,TOBIS Film,5.6/10,60%,66/100,1
1445,Tremolo Productions,7.4/10,99%,83/100,1
1446,Gil Friesen Productions,7.4/10,99%,83/100,1
1447,Bellwether Pictures,4.6/10,85%,N/A/100,1
1448,Pine District,7.4/10,92%,82/100,1
1449,Varsity Pictures,5.8/10,26%,16/100,2
1450,Blackened Recordings,7.2/10,79%,6/100,1
1451,Krasnoff Foster Productions,6.5/10,33%,48/100,1
1452,United Performers' Studio,6.5/10,33%,48/100,1
1453,More Films + Team G,6.7/10,92%,79/100,1
1454,/,6.0/10,45%,N/A/100,1
1455,Medusa Film,7.0/10,76%,58/100,5
1456,Babe Films,7.8/10,91%,86/100,1
1457,Cima Productions,5.7/10,45%,57/100,1
1458,Olmos Productions,5.7/10,45%,57/100,1
1459,Silent Giant Entertainment,5.7/10,45%,57/100,1
1460,Roadside Attractions,6.4/10,49%,46/100,2
1461,Orion Pictures,6.2/10,50%,39/100,1
1462,Coram Deo Studios,6.2/10,50%,39/100,1
1463,Goalpost Pictures,7.0/10,91%,67/100,1
1464,Reverence Gospel Media,4.5/10,6%,23/100,1
1465,Next Gen Films,7.0/10,N/A%,N/A/100,1
1466,Pinewood Studios,6.0/10,22%,33/100,1
1467,Quat'sous Films,7.8/10,90%,88/100,1
1468,Vértigo Films,7.8/10,90%,88/100,1
1469,Radio Télévision Belge Francofone,7.8/10,90%,88/100,1
1470,Pictanovo,7.8/10,90%,88/100,1
1471,Fickle Fish Films,6.3/10,30%,42/100,1
1472,Moxie Pictures,6.3/10,30%,42/100,1
1473,Three Coin Productions,5.6/10,60%,N/A/100,1
1474,Saratov Films,5.6/10,60%,N/A/100,1
1475,CNN Films,8.0/10,98%,83/100,1
1476,Manny O. Productions,8.0/10,98%,83/100,1
1477,Reshet,6.7/10,89%,79/100,1
1478,Broadcasting,6.7/10,89%,79/100,1
1479,Avi Chai fund,6.7/10,89%,79/100,1
1480,Sundance,6.7/10,89%,79/100,1
1481,Steel Mill Pictures,7.0/10,65%,57/100,1
1482,Coolmore Productions,7.0/10,65%,57/100,1
1483,Film House Germany,7.0/10,65%,57/100,1
1484,ROMP Pictures,8.3/10,87%,N/A/100,1
1485,Zentropa Productions,6.6/10,74%,6/100,1
1486,National Film Board of Canada,7.6/10,94%,9/100,1
1487,Tips Films,5.2/10,N/A%,N/A/100,1
1488,Gran Via Productions,6.4/10,52%,54/100,2
1489,Monarch Pictures,6.4/10,71%,65/100,1
1490,Monkey Hill Films,6.4/10,71%,65/100,1
1491,Tenaja Productions,6.4/10,71%,65/100,1
1492,Nordisk Film,7.2/10,72%,25/100,3
1493,DCM Productions,7.2/10,83%,62/100,1
1494,Roenbergfilm,7.2/10,83%,62/100,1
1495,Maven Pictures,5.8/10,22%,38/100,1
1496,Anonymous Content Pictures,5.8/10,22%,38/100,1
1497,Ambush Entertainment,5.8/10,22%,38/100,1
1498,10th Hole Productions,6.4/10,58%,62/100,2
1499,Gambit Films,5.8/10,22%,38/100,1
1500,France 3 Cinéma,7.6/10,77%,41/100,13
1501,BIM Distribuzione,7.5/10,95%,47/100,2
1502,Low Spark Films,7.2/10,76%,6/100,1
1503,Big Beach Films,7.1/10,78%,7/100,3
1504,Westend Films,6.0/10,77%,75/100,1
1505,Taeoo Entertainment,6.0/10,77%,75/100,1
1506,Swarovski Entertainment,7.7/10,23%,N/A/100,1
1507,Red Crown Productions,7.5/10,86%,74/100,1
1508,Dreambridge Films,7.5/10,86%,74/100,1
1509,Fortissimo Films,6.6/10,64%,48/100,3
1510,Prospero Pictures,7.5/10,86%,74/100,1
1511,Olympus Pictures,6.9/10,66%,39/100,3
1512,Class 5 Films,7.0/10,62%,62/100,2
1513,RCR Media Group,5.9/10,25%,4/100,1
1514,Trilogy Entertainment,5.9/10,25%,4/100,1
1515,Solar Filmworks,5.9/10,25%,4/100,1
1516,Benaroya Pictures,6.8/10,50%,51/100,2
1517,Future Film,6.5/10,75%,65/100,1
1518,Traction Media,8.0/10,99%,82/100,1
1519,Kichu Films,3.3/10,N/A%,N/A/100,1
1520,A Band Apart,7.5/10,69%,54/100,6
1521,Sony Pictures Imageworks,7.0/10,44%,47/100,1
1522,Spyglass Entertainment,6.1/10,41%,42/100,43
1523,Haishang Films,7.8/10,80%,42/100,2
1524,Parkes + MacDonald Prods.,7.3/10,78%,76/100,1
1525,Cott Productions,5.8/10,26%,37/100,1
1526,Furia de Titanes II A.I.E.,5.8/10,26%,37/100,1
1527,Face Productions,5.8/10,24%,40/100,2
1528,Blueeyes Productions,6.5/10,51%,5/100,1
1529,Rat Entertainment,6.0/10,47%,44/100,4
1530,Misha Films,5.6/10,50%,46/100,1
1531,Mel's Cite du Cinema,5.6/10,50%,46/100,1
1532,Film 360,6.3/10,75%,65/100,1
1533,Zide/Perry Productions,6.1/10,47%,26/100,7
1534,Robert Simonds Productions,5.2/10,20%,27/100,8
1535,Exclusive Media Group,6.7/10,78%,70/100,2
1536,Talisman Films,6.4/10,67%,62/100,1
1537,Filmgate,6.4/10,67%,62/100,1
1538,Prototype,4.2/10,6%,8/100,1
1539,Scott Sanders Productions,6.6/10,34%,47/100,1
1540,Crystal Sky Pictures,5.2/10,31%,25/100,3
1541,North Box Productions,5.9/10,40%,45/100,1
1542,Possessed Pictures,6.8/10,63%,53/100,1
1543,Ixtlan Productions,6.1/10,40%,52/100,3
1544,United Artists,6.7/10,60%,54/100,12
1545,Valkyrie Films,5.4/10,13%,3/100,1
1546,C3 Entertainment,5.0/10,51%,56/100,1
1547,Mutant Enemy Productions,7.0/10,92%,72/100,1
1548,What to Expect Productions,5.7/10,22%,4/100,1
1549,Georgia Public,5.7/10,22%,4/100,1
1550,CECTV Films,7.6/10,85%,68/100,1
1551,Corner Stone Entertainment,5.9/10,41%,47/100,1
1552,BlumHansonAllen Films,7.3/10,67%,58/100,1
1553,21 Laps Productions,5.7/10,17%,36/100,1
1554,Obama's America Foundation,5.0/10,25%,28/100,1
1555,Cloud Atlas Production,7.5/10,66%,55/100,1
1556,X-Filme Creative Pool,7.7/10,83%,72/100,3
1557,Block/Hanson,5.0/10,12%,3/100,1
1558,Envision Entertainment Corporation,5.0/10,12%,3/100,1
1559,IAC Productions,5.0/10,12%,3/100,1
1560,AEG Live,3.2/10,70%,54/100,2
1561,EMI Music,5.9/10,75%,57/100,1
1562,Perry Productions,5.9/10,75%,57/100,1
1563,Magical Elves Productions,5.9/10,75%,57/100,1
1564,Splinter Films,5.9/10,75%,57/100,1
1565,Pariah,7.0/10,83%,70/100,3
1566,Saturn Films,6.5/10,45%,35/100,13
1567,Work After Midnight Films,5.9/10,0%,26/100,1
1568,Oren Peli/Brian Witten Productions,5.0/10,17%,N/A/100,1
1569,Lawrence Bender Productions,6.7/10,58%,56/100,3
1570,Perdido Production,6.3/10,45%,54/100,1
1571,JoAnne Sellar Productions,7.0/10,85%,86/100,1
1572,Galavis Films,6.4/10,22%,44/100,1
1573,Pioneer Pictures,6.4/10,22%,44/100,1
1574,Primate Pictures,6.0/10,49%,5/100,1
1575,Kim and Jim Productions,6.0/10,49%,5/100,1
