ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2208,Ingenious Screen Partners,7.0/10,92%,84/100,1
2209,A G P P L,7.6/10,79%,69/100,1
2210,BBC Storyville,7.8/10,100%,89/100,1
2211,Discovery Films,7.8/10,100%,89/100,1
2212,Red Box Films,7.8/10,100%,89/100,1
2213,Wall to Wall,7.8/10,100%,89/100,1
2214,ATO Pictures,6.5/10,54%,47/100,1
2215,Aramid Entertainment Fund,6.5/10,54%,47/100,1
2216,Choke Film,6.5/10,54%,47/100,1
2217,Harwood Hunt Productions,7.2/10,88%,82/100,1
2218,Off Hollywood Pictures,7.2/10,88%,82/100,1
2219,Geetha Arts,7.3/10,50%,N/A/100,1
2220,Sony Pictures Classics,6.6/10,69%,71/100,2
2221,Bridgit Folman Film Gang,8.0/10,96%,9/100,1
2222,Les Films d'Ici,8.0/10,96%,9/100,1
2223,Razor Film Produktion,8.0/10,96%,9/100,1
2224,Radical Media,7.9/10,60%,64/100,1
2225,Absolute Entertainment,7.9/10,60%,64/100,1
2226,Castelao Producciones,6.7/10,93%,72/100,1
2227,UFA,6.7/10,93%,72/100,1
2228,Future Films UK,6.7/10,93%,72/100,1
2229,Filmpool Nord,7.9/10,98%,82/100,1
2230,Occupant Films,7.0/10,70%,6/100,1
2231,SBK Pictures,7.0/10,70%,6/100,1
2232,Arte Cinéma,7.0/10,74%,66/100,1
2233,Motion Investment Group,7.4/10,74%,36/100,2
2234,Soficinéma 2,7.0/10,74%,66/100,1
2235,Soficinéma 3,7.0/10,74%,66/100,1
2236,Celluloid Dreams,7.1/10,78%,31/100,4
2237,Tartan Films,6.5/10,52%,44/100,1
2238,Sunnyland Films,7.2/10,92%,7/100,1
2239,Ming Productions,7.0/10,30%,49/100,1
2240,Zero West Filmproduktion,7.0/10,30%,49/100,1
2241,Cheerland Entertainment,7.0/10,30%,49/100,1
2242,Bluewater Pictures,7.0/10,30%,49/100,1
2243,Merchant Ivory Productions,6.3/10,51%,54/100,2
2244,Adirondack Pictures,6.6/10,49%,47/100,1
2245,Excalibur Pictures,6.6/10,49%,47/100,1
