ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
514,Maren Ade,7.5/10,93%,93/100,1
515,Michael Grandage,6.5/10,52%,56/100,1
516,Mark Osborne,7.5/10,83%,49/100,3
517,Nicolas Winding Refn,7.0/10,76%,42/100,2
518,Ciro Guerra,7.9/10,96%,82/100,1
519,Sajid,5.5/10,44%,N/A/100,5
520, Farhad Samji,5.2/10,29%,N/A/100,1
521,Ashutosh Gowariker,7.3/10,67%,54/100,3
522,Matt Hullum,5.6/10,56%,42/100,1
523,Morgan Neville,7.6/10,92%,45/100,2
524,Andrew Wakefield,5.7/10,38%,24/100,1
525,John Goldschmidt,6.2/10,53%,44/100,1
526,Bejoy Nambiar,7.0/10,71%,N/A/100,1
527,Bob Yari,6.3/10,N/A%,37/100,1
528,Brad Knull,8.0/10,N/A%,N/A/100,1
